"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107929851",627.199053436968,3.98203189736278,0.278828081043149,14.2813158648342,2.86146887265505e-46,1.51634958499737e-41
"LOC107925727",576.899864347718,4.64410023696843,0.327016071112724,14.2014434372174,8.97446344740214e-46,2.37787383502367e-41
"LOC107959100",3734.42687702068,4.20099093907991,0.320511502967314,13.107145610023,2.99665977234387e-39,5.29329982186821e-35
"LOC107919480",216.067263180863,4.67466169018174,0.358152679237512,13.0521477603737,6.17808139562899e-39,8.18472223292929e-35
"LOC107915880",237.276519437322,-5.8951132937029,0.459413158197823,-12.831833804735,1.08759070302622e-37,1.15267213069531e-33
"LOC121202805",1806.75778529309,3.60003545829444,0.286401088631365,12.569908429811,3.09081691164276e-36,2.72980949636289e-32
"LOC107913273",2442.20668105113,3.07810441656931,0.25378146790994,12.1289566252397,7.41886408470431e-34,5.61629207966644e-30
"LOC107891540",333.280467457447,4.39040830058611,0.36240952533806,12.1144947735319,8.8507827053092e-34,5.86275846399681e-30
"LOC107890513",2163.68171263157,4.35579991179621,0.363538763169664,11.9816656518781,4.43325827817741e-33,2.61030247419086e-29
"LOC121214472",334.807883712977,4.82644523302592,0.409955571350918,11.7730934040521,5.37179318266305e-32,2.8466206433568e-28
"LOC107944964",2611.31891713386,4.74324330871397,0.405611426290174,11.6940574186898,1.3669648038207e-31,6.58529080764243e-28
"LOC107933459",313.751460484309,4.73257481359905,0.408682912509394,11.5800652993787,5.20064251933228e-31,2.29660373653713e-27
"LOC107957787",356.257716298594,-3.66039303320488,0.333155675907141,-10.9870348846319,4.41182527853713e-28,1.79839573200184e-24
"LOC107938188",4611.78702058654,9.82569353355065,0.90300879132996,10.881060769164,1.41901915394482e-27,5.37119021470315e-24
"LOC107916818",279.621274359935,3.67824390873209,0.339386812335197,10.8379105346594,2.27610138943654e-27,8.04101098860143e-24
"LOC107923615",169.937777145276,5.51327725030672,0.51139452919585,10.7808686553142,4.23863951825463e-27,1.40383740844593e-23
"LOC121206288",1286.04003533211,3.03879405375969,0.283765075977164,10.7088373835131,9.25163408271882e-27,2.88389760771433e-23
"LOC107897809",1727.07482472763,5.45041426362088,0.509614298748607,10.6951753061183,1.07216712735927e-26,3.1564600229457e-23
"LOC121207986",4255.28776967778,9.22215747721837,0.863281512690314,10.6826769039437,1.22682080173195e-26,3.42166778554628e-23
"LOC107923648",318.149047095229,6.08153301486835,0.57186807423429,10.6345034613294,2.0592266595798e-26,5.45612695722264e-23
"LOC107915478",8629.84592817198,9.39336202100291,0.894517100676707,10.5010424215443,8.54314339036098e-26,2.15580121210481e-22
"LOC107912196",319.165574026368,5.03818417491924,0.480562544714223,10.4839301987534,1.02397921254883e-25,2.3592481057125e-22
"LOC107932277",779.203173407436,3.74627623642467,0.357314978435287,10.4845205561489,1.01760462429776e-25,2.3592481057125e-22
"LOC107917241",221.305202667132,5.10576668142912,0.490633493604703,10.4064780492601,2.31633170175767e-25,4.90988198158169e-22
"LOC107959505",183.771167944549,-6.42559054192759,0.617441776676279,-10.4067958869205,2.30861354631873e-25,4.90988198158169e-22
"LOC107944565",382.867629903581,4.81825871793645,0.46354916165259,10.394277708882,2.6327402879901e-25,5.3659297438912e-22
"LOC107940946",453.960146241553,4.50533287126822,0.434796889488442,10.3619252579496,3.69449645016445e-25,7.2510650328561e-22
"LOC107899435",1506.43796298399,3.18181774639329,0.310106147451926,10.2604149338463,1.06249203005803e-24,2.01084205917268e-21
"LOC107927140",593.882350759644,4.61641896088832,0.451883733481572,10.2159440998701,1.68233373083508e-24,3.07414582980733e-21
"LOC107947319",822.894162324967,3.88551635027937,0.383991159282638,10.1187651234945,4.56134033851326e-24,8.05715157394982e-21
"LOC107901087",427.739103163779,5.71952154783018,0.568163060618648,10.0666902589592,7.75437290854427e-24,1.32554751345025e-20
"LOC107911933",270.36641011727,-3.99870108712248,0.40029100806174,-9.98948516601635,1.69459569515052e-23,2.80625047116926e-20
